created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Oct 24 23:59:21 +0000 2023,1716967647034982853,@psi_id @kaesangp @prabowo @gibran_tweet Memang mungkin hrs lebih lucu... Negeri ini kayaknya gk maju2 karena terlalu serius.... TERLALU SERIUS MIKIRIN PERUT &amp  ISI OTAKNYA MASING2... 😄😄,0,0,0,0,in,1622105805783977984,1716772382436917270,goestanto1970,https://twitter.com/goestanto1970/status/1716967647034982853
Tue Oct 24 23:58:49 +0000 2023,1716967512506765563,"@Uki23 @psi_id @Gerindra Walaupun ane pendukung AMIN, ane kasih masukan nickname buat klen..  Prabu BranI Prabowo Gibran u/ Indonesia",0,0,0,0,in,1725556034,1716806806402691312,Bro_Lucky86,https://twitter.com/Bro_Lucky86/status/1716967512506765563
Tue Oct 24 23:58:43 +0000 2023,1716967486485397796,"@GosongImam @Chaves1305 @gibran_tweet @prabowo kita omongin waktu yg sekarang, momentumnya tepat. Bapaknya masih punya pendukung fanatik dan maaih punya nilai jual.",0,0,0,0,in,278461022,1716657908228968935,askencana,https://twitter.com/askencana/status/1716967486485397796
Tue Oct 24 23:58:41 +0000 2023,1716967481078948237,"Serius nanya.. Kalau diundang peresmian kantor media kami https://t.co/XcMHoW3Cq1 di Mojokerto, kira-kira Pak @prabowo Mas @gibran_tweet dan Kak @kaesangp berkenan hadir ya?  #gibran #prabowo #kaesang #seriusnanya",0,0,0,0,in,1478569118869590017,1716967481078948237,andywartawan,https://twitter.com/andywartawan/status/1716967481078948237
Tue Oct 24 23:58:31 +0000 2023,1716967439093973066,Bersih-bersih rumah sambil liat proses pendaftaran Capres Cawapres Prabowo - Gibran ke KPU😅 @prabowo @gibran_tweet @Gerindra https://t.co/WZanGlKktr,0,2,0,0,in,1453141235904880641,1716967439093973066,nikmatul_resa,https://twitter.com/nikmatul_resa/status/1716967439093973066
Tue Oct 24 23:58:13 +0000 2023,1716967363608969684,@TeddGus @prabowo @gibran_tweet Awokwokwok...  PASGEDUBRAK.,0,0,0,0,in,1603374160503541760,1716964781121536477,taliwongsooo,https://twitter.com/taliwongsooo/status/1716967363608969684
Tue Oct 24 23:57:37 +0000 2023,1716967210298839320,@TeddGus @prabowo @ganjarpranowo @gibran_tweet Segala dalih d gunakan untk anak paduka....,0,0,0,0,in,1587727945065299971,1716667760988885320,AdHidayat1314,https://twitter.com/AdHidayat1314/status/1716967210298839320
Tue Oct 24 23:57:29 +0000 2023,1716967179047096452,@KemensetnegRI @__AnakKolong @Aryprasetyo85 @cakimiNOW @democrazymedia @ganjarpranowo @mohmahfudmd @gibran_tweet @prabowo @JubirPresidenRI https://t.co/bIaobTbZ0D @erickthohir @ruhutsitompul @kaesangp @aniesbaswedan @dhemit_is_back @KerjaHasil_id @puanmaharani_ri @KSPgoid @PolhukamRI @Puspen_TNI https://t.co/ixBm16e9Ob,0,0,0,0,qme,1603571644030939136,1716755205373808794,66Maxmara,https://twitter.com/66Maxmara/status/1716967179047096452
Tue Oct 24 23:57:06 +0000 2023,1716967081466569201,"@TeddGus @prabowo @gibran_tweet Partai gurem yah bisanya cuma  seperti ini, murah meriah. 😛😛",0,0,0,0,in,1619762393223139328,1716964781121536477,rajajeplak,https://twitter.com/rajajeplak/status/1716967081466569201
Tue Oct 24 23:57:03 +0000 2023,1716967068007055654,"Pilihan mayoritas pendukungnya jika Anies-Imin gugur di P1, memang hanya di PS-Gibran. Sebab pada dasarnya, fans Anies umumnya juga mengidolakan Prabowo dan Gibran.  Apalagi kemungkinan besar Anies dan Imin yg akan menggiring pendukungnya ke PS-Gibran.",0,1,2,5,in,2651176428,1716967068007055654,Jhonkosmik,https://twitter.com/Jhonkosmik/status/1716967068007055654
Tue Oct 24 23:56:48 +0000 2023,1716967005147042285,"@TeddGus @gibran_tweet @prabowo Ya  pastilah disembunyikan rapat rapat....karena perilaku Jokowi itu aib ...tapi bagaimanapun   busuk tetap busuk...sekarang terpampang jelas kelakuan satu keluarga itu....Dan kalau anda mendukungnya, artinya anda memang setuju dgn cara  cara seperti itu..😀",0,0,0,0,in,1430363779175391237,1715922521936248919,megapand137,https://twitter.com/megapand137/status/1716967005147042285
Tue Oct 24 23:56:16 +0000 2023,1716966869364855103,"@PandamPamungkas @gibran_tweet Kenapa ditarik? Yang udah jelas gak mau lawan pak prabowo di pilpres aja skrg udah jadi lawannya pak prabowo (anis). Kalo vidio ini kan mengajak aja, kalo gak mau milih ya gapapa tho. Sah sah aja",0,0,0,0,in,1482213966298624001,1716796229508891018,nurazizahds,https://twitter.com/nurazizahds/status/1716966869364855103
Tue Oct 24 23:56:03 +0000 2023,1716966818412404884,Pak Prabowo menghadiri Konser Pilpres Santuy Partai Solidaritas Indonesia (PSI)🤗  #gibranrakabuming #gibranrakabumingraka #relawangibran #gibran #relawanbolonemase #relawangibranrakabumingraka #prabowogibran2024 #pilpres2024 https://t.co/zqQNCIjESl,0,1,0,1,in,1672937381861916674,1716966818412404884,bolonemase,https://twitter.com/bolonemase/status/1716966818412404884
Tue Oct 24 23:55:57 +0000 2023,1716966792034439432,"hari ini berangkat sengaja lebih pagi, soalnya pasti sekitaran tugu tani macet pol efek prabowo-gibran daftar ke kpu -.-",0,0,0,0,in,993509113001791489,1716966792034439432,namirrrrrrr,https://twitter.com/namirrrrrrr/status/1716966792034439432
Tue Oct 24 23:55:53 +0000 2023,1716966774489694387,Pak Prabowo menghadiri Konser Pilpres Santuy Partai Solidaritas Indonesia (PSI)🤗  #gibranrakabuming #gibranrakabumingraka #relawangibran #gibran #relawanbolonemase #relawangibranrakabumingraka #prabowogibran2024 #pilpres2024 https://t.co/USavmnLKIz,0,0,0,0,in,1681925878329278465,1716966774489694387,RBolonemase,https://twitter.com/RBolonemase/status/1716966774489694387
Tue Oct 24 23:55:13 +0000 2023,1716966608663711755,"@OliviaCath1540 @prabowo @gibran_tweet Bapaknya aj gk berhasil mencabut skb menteri doank pdhl UU 80 biji bisa dikebut pakai umnibuslaw. Pilih capres bebas aj jangan bawa2 isu agama deh, gk sesuai kenyataan tuh",0,1,0,1,in,473678966,1716773955766550997,kadal15,https://twitter.com/kadal15/status/1716966608663711755
Tue Oct 24 23:55:11 +0000 2023,1716966597892645261,@TeddGus @prabowo @ganjarpranowo @gibran_tweet Wong gak mau kok di paksa2 kalau kader yg ABS seperti yg rambut putih pasti mau lah kan petugas partai bukan petugas parkir ?,0,0,0,0,in,884249371839049728,1716667760988885320,abdul_waringin,https://twitter.com/abdul_waringin/status/1716966597892645261
